Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,KIC 08122124,Kepler,2454964.612833,2026-06-08 04:03:01.579,Secondary,30.5,0.2492776,299.01957,43.95756,13.64
2026-06-07,ETAMU,KIC 12004834,Kepler,2455002.041,2026-06-08 04:03:07.817,Secondary,40.2,0.2623168,286.53805,50.46389,14.72
2026-06-07,ETAMU,KIC 07339123,Kepler,2454953.720417,2026-06-08 04:03:14.228,Secondary,41.8,0.3471032,282.64188,42.94633,11.54
2026-06-07,ETAMU,KIC 07597095,Kepler,2454964.709147,2026-06-08 04:03:36.485,Primary,38.0,0.3012058,288.12183,43.20793,14.2
2026-06-07,ETAMU,KIC 09612468,Kepler,2454953.603803,2026-06-08 04:04:09.446,Primary,30.7,0.1334715,299.98213,46.26232,11.53
2026-06-07,ETAMU,KIC 05878081,Kepler,2454999.857562,2026-06-08 04:04:36.809,Primary,34.6,0.5911339,292.3893,41.11501,14.37
2026-06-07,ETAMU,KIC 10032935,Kepler,2454964.672349,2026-06-08 04:04:53.381,Primary,31.6,0.320516,299.14055,46.99926,14.64
2026-06-07,ETAMU,KIC 05376552,Kepler,2454954.083822,2026-06-08 04:06:19.772,Secondary,32.4,0.5038186,295.60981,40.59833,12.86
2026-06-07,ETAMU,KIC 10259530,Kepler,2454964.588439,2026-06-08 04:07:29.272,Secondary,41.6,0.7072062,284.93975,47.33537,12.12
2026-06-07,ETAMU,KIC 07940533,Kepler,2454954.622194,2026-06-08 04:07:47.892,Primary,42.4,3.9055972,283.06627,43.74356,12.86
2026-06-07,ETAMU,KIC 04647652,Kepler,2454953.946994,2026-06-08 04:07:52.142,Secondary,36.8,1.064824,289.63929,39.77497,11.81
2026-06-07,ETAMU,KIC 12785282,Kepler,2454953.956353,2026-06-08 04:08:15.483,Secondary,38.7,0.7887499,290.47124,52.0285,13.52
2026-06-07,ETAMU,TIC 0347329162,TESS,2458902.725022,2026-06-08 04:08:43.116,Secondary,54.2,4.6169803,183.3662118267,23.055674989,11.54
2026-06-07,ETAMU,KIC 09827122,Kepler,2455003.194668,2026-06-08 04:09:43.434,Secondary,38.3,2.1549222,290.16726,46.61659,11.84
2026-06-07,ETAMU,KIC 11193447,Kepler,2454953.9774949998,2026-06-08 04:10:24.638,Primary,36.7,0.625884,293.38158,48.82482,13.4
2026-06-07,ETAMU,KIC 10972830,Kepler,2454999.995123,2026-06-08 04:10:27.524,Primary,38.6,0.6784503,290.39956,48.46584,10.17
2026-06-07,ETAMU,KIC 09239684,Kepler,2454964.790149,2026-06-08 04:10:29.874,Primary,32.3,0.2618159,298.91058,45.60823,12.58
2026-06-07,ETAMU,KIC 12055421,Kepler,2454953.820969,2026-06-08 04:10:43.906,Secondary,40.6,0.385606,287.78936,50.54387,12.52
2026-06-07,ETAMU,KIC 05530881,Kepler,2454965.96077,2026-06-08 04:10:52.053,Secondary,36.7,5.0825222,290.9227,40.77737,13.51
2026-06-07,ETAMU,KIC 08481574,Kepler,2454964.728369,2026-06-08 04:11:07.666,Primary,41.4,0.3268648,285.56823,44.57252,13.94
2026-06-07,ETAMU,TIC 0273376048,TESS,2458685.894609,2026-06-08 04:11:24.490,Primary,33.9,12.5688999,297.6944027735,47.8789486609,11.72
2026-06-07,ETAMU,KIC 06466939,Kepler,2454964.90023,2026-06-08 04:12:46.205,Secondary,32.0,2.2858938,298.25747,41.85064,14.45
2026-06-07,ETAMU,KIC 06281103,Kepler,2454964.870623,2026-06-08 04:12:52.015,Secondary,37.6,0.3632807,290.46718,41.67451,14.9
2026-06-07,ETAMU,KIC 04367544,Kepler,2454965.760421,2026-06-08 04:13:15.996,Primary,35.8,2.3912219,292.28394,39.45708,14.33
2026-06-07,ETAMU,KIC 10253421,Kepler,2454953.634411,2026-06-08 04:14:32.853,Secondary,45.1,0.4283539,281.48727,47.31931,12.51
2026-06-07,ETAMU,KIC 09051716,Kepler,2455002.19995,2026-06-08 04:14:44.374,Primary,32.0,1.3908162,300.35137,45.34518,13.84
2026-06-07,ETAMU,KIC 03743834,Kepler,2454964.543136,2026-06-08 04:15:06.942,Primary,37.2,0.2736148,290.54616,38.8726,14.08
2026-06-07,ETAMU,KIC 07272739,Kepler,2454964.852294,2026-06-08 04:15:15.634,Primary,39.4,0.2811646,288.85717,42.81256,12.96
2026-06-07,ETAMU,KIC 08739802,Kepler,2455001.999865,2026-06-08 04:15:42.357,Primary,42.4,0.2745129,285.38929,44.98363,14.88
2026-06-07,ETAMU,KIC 05821050,Kepler,2454953.930478,2026-06-08 04:15:53.762,Secondary,31.7,1.9333686,299.15035,41.06866,12.14
2026-06-07,ETAMU,KIC 05881838,Kepler,2455005.795225,2026-06-08 04:15:58.104,Secondary,35.8,0.3003313,293.53324,41.14357,14.74
