#mu,eb,a_crit
0.180,0.20,0.280
0.120,0.33,0.254
0.200,0.17,0.304
0.240,0.08,0.315
0.100,0.38,0.251
0.020,0.45,0.264
0.140,0.29,0.274
0.060,0.45,0.236
0.040,0.49,0.221
0.160,0.25,0.277
0.220,0.12,0.312
0.180,0.21,0.276
0.080,0.41,0.236
0.200,0.18,0.302
0.120,0.34,0.253
0.240,0.09,0.313
0.100,0.39,0.235
0.160,0.26,0.276
0.140,0.30,0.256
0.060,0.46,0.220
0.040,0.50,0.220
0.020,0.46,0.264
0.001,0.27,0.528
0.220,0.13,0.308
0.200,0.19,0.279
0.080,0.42,0.235
0.180,0.22,0.275
0.120,0.35,0.252
0.240,0.10,0.311
0.100,0.40,0.234
0.160,0.27,0.273
0.040,0.51,0.207
0.060,0.47,0.219
0.140,0.31,0.252
0.020,0.47,0.261
0.220,0.14,0.305
0.200,0.20,0.277
0.080,0.43,0.234
0.180,0.23,0.274
0.120,0.36,0.250
0.240,0.11,0.309
0.100,0.41,0.232
0.160,0.28,0.255
0.040,0.52,0.206
0.140,0.32,0.252
0.060,0.48,0.206
0.220,0.15,0.302
0.020,0.48,0.243
0.200,0.21,0.272
0.080,0.44,0.219
0.001,0.28,0.517
0.180,0.24,0.274
0.120,0.37,0.233
0.240,0.12,0.308
0.100,0.42,0.217
0.160,0.29,0.254
0.040,0.53,0.194
0.140,0.33,0.251
0.060,0.49,0.205
0.020,0.49,0.242
0.220,0.16,0.301
0.200,0.22,0.272
0.240,0.13,0.303
0.080,0.45,0.218
0.180,0.25,0.274
0.120,0.38,0.232
0.160,0.30,0.250
0.100,0.43,0.217
0.040,0.54,0.194
0.140,0.34,0.249
0.220,0.17,0.299
0.060,0.50,0.204
0.020,0.50,0.240
0.200,0.23,0.271
0.240,0.14,0.301
0.120,0.39,0.231
0.080,0.46,0.204
0.180,0.26,0.271
0.160,0.31,0.250
0.100,0.44,0.216
0.001,0.29,0.517
0.040,0.55,0.183
0.140,0.35,0.235
0.220,0.18,0.292
0.020,0.51,0.224
0.060,0.51,0.193
0.200,0.24,0.270
0.160,0.32,0.248
0.240,0.15,0.298
0.080,0.47,0.204
0.180,0.27,0.261
0.120,0.40,0.230
0.040,0.56,0.174
0.100,0.45,0.202
0.140,0.36,0.232
0.060,0.52,0.192
0.220,0.19,0.276
0.020,0.52,0.224
0.200,0.25,0.268
0.160,0.33,0.246
0.120,0.41,0.215
0.040,0.57,0.174
0.080,0.48,0.203
